,Ticker,Date,Div Amount
631,SLF.AX,2015-01-05,0.181162
632,STW.AX,2020-03-20,0.472397
633,STW.AX,2019-12-30,0.600703
634,STW.AX,2019-09-27,0.821673
635,STW.AX,2019-06-27,0.768196
636,STW.AX,2019-03-28,0.704357
637,STW.AX,2018-12-28,0.544021
638,STW.AX,2018-09-27,0.935413
639,STW.AX,2018-06-28,0.384273
640,STW.AX,2018-03-28,0.529824
641,STW.AX,2017-12-28,0.565575
642,STW.AX,2017-09-28,0.847868
643,STW.AX,2017-06-29,0.570981
644,STW.AX,2017-03-30,0.402899
645,STW.AX,2016-12-29,0.522071
646,STW.AX,2016-09-30,0.695911
647,STW.AX,2016-06-29,0.857474
648,STW.AX,2015-12-29,1.1926
649,STW.AX,2015-06-26,0.710032
650,SPK.AX,2020-03-12,0.115363
651,SPK.AX,2019-09-19,0.013987
652,SPK.AX,2019-03-14,0.016428
653,SPK.AX,2018-09-20,0.109614
654,SPK.AX,2018-03-15,0.112312
655,SPK.AX,2017-09-21,0.113624
656,SPK.AX,2017-03-16,0.118744
657,SPK.AX,2016-09-22,0.118906
658,SPK.AX,2016-03-17,0.11458
659,SPK.AX,2015-09-23,0.117032
660,SPK.AX,2015-03-25,0.0867
661,SKI.AX,2020-03-03,0.075
662,SKI.AX,2019-09-03,0.075
663,SKI.AX,2019-03-05,0.08
664,SKI.AX,2018-09-04,0.08
665,SKI.AX,2018-03-05,0.07625
666,SKI.AX,2017-09-05,0.07625
667,SKI.AX,2017-03-03,0.0725
668,SKI.AX,2016-09-05,0.0725
669,SKI.AX,2016-03-02,0.06
670,SKI.AX,2015-09-02,0.06
671,SKI.AX,2015-03-02,0.0575
672,SXL.AX,2020-03-02,0.0275
673,SXL.AX,2019-09-06,0.04
674,SXL.AX,2019-03-01,0.0375
675,SXL.AX,2018-09-07,0.04
676,SXL.AX,2018-03-02,0.0375
677,SXL.AX,2017-09-08,0.04
678,SXL.AX,2017-03-02,0.0375
679,SXL.AX,2016-09-01,0.035
680,SXL.AX,2016-04-05,0.0325
681,SXL.AX,2015-09-25,0.03
682,SXL.AX,2015-04-01,0.03
